protein	annot_cat_cluster	kmer_enrich	eCLIP	FLASH	iCLIP	HITS-CLIP	other	GraphProt_paper
ALKBH5	c3	N	N	NA	NA	NA	NA	Y
ELAVL1	c6	N	N	NA	NA	NA	NA	Y
EWSR1	c8	N	Y	NA	NA	NA	NA	Y
FUS	c6	N	N	NA	NA	NA	NA	Y
HNRNPC	c6	N	Y	Y	Y	NA	NA	Y
IGF2BP1	c7	N	Y	NA	NA	NA	NA	Y
MOV10	c8	N	N	NA	NA	NA	NA	Y
PUM2	c8	N	Y	NA	NA	NA	NA	Y
QKI	c7	N	Y	Y	NA	NA	NA	Y
TAF15	c7	N	Y	NA	NA	NA	NA	Y
ZC3H7B	c8	N	N	NA	NA	NA	NA	Y
CAPRIN1	c7	N	N	NA	NA	NA	NA	N
CPSF1	c6	N	N	NA	NA	NA	NA	N
CPSF3	c3	N	N	NA	NA	NA	NA	N
CPSF4	c3	N	N	NA	NA	NA	NA	N
CPSF6	c6	N	Y	NA	NA	NA	NA	N
CPSF7	c6	N	N	NA	NA	NA	NA	N
CSTF2	c6	N	Y	NA	NA	NA	NA	N
CSTF2T	c6	N	Y	NA	NA	NA	NA	N
DIS3	c3	N	N	NA	NA	NA	NA	N
DND1	c8	N	N	NA	NA	NA	NA	N
EIF3A	c3	N	N	NA	NA	NA	NA	N
EIF3B	c3	N	N	NA	NA	NA	NA	N
EIF3D	c3	N	Y	NA	NA	NA	NA	N
EIF3G	c3	N	N	NA	NA	NA	NA	N
ELAVL2	c8	N	N	NA	NA	NA	NA	N
ELAVL3	c8	Y	N	NA	NA	NA	NA	N
ELAVL4	c8	Y	N	NA	NA	NA	NA	N
FIP1L1	c6	Y	N	NA	NA	NA	NA	N
FMR1iso7	c7	Y	Y	NA	NA	NA	NA	N
FRM1iso1	c7	Y	Y	NA	NA	NA	NA	N
FXR1	c7	Y	Y	NA	NA	NA	NA	N
FXR2	c7	Y	Y	NA	NA	NA	NA	N
HNRNPD	c6	Y	N	NA	NA	NA	NA	N
IGF2BP3	c8	Y	Y	NA	NA	NA	NA	N
L1RE1	NA	Y	N	NA	NA	NA	NA	N
LIN28A	c3	Y	N	NA	NA	NA	NA	N
LIN28B	c7	Y	Y	NA	NA	NA	NA	N
MBNL1	c6	Y	N	NA	NA	NA	NA	N
NCBP3	c3	Y	N	NA	NA	NA	NA	N
NUDT21	c7	Y	N	NA	NA	NA	NA	N
ORF1	c8	Y	N	NA	NA	NA	NA	N
RBM10	c3	Y	N	NA	NA	NA	NA	N
RBM20	c7	Y	N	NA	NA	NA	NA	N
RBMS	c7	Y	N	NA	NA	NA	NA	N
RTCB	c7	Y	Y	NA	NA	NA	NA	N
TARDBP	c6	Y	Y	NA	NA	NA	NA	N
UPF1	c7	Y	Y	NA	NA	NA	NA	N
XPO5	c1	Y	Y	NA	NA	NA	NA	N
ZFP36	c8	Y	N	NA	NA	NA	NA	N
